,kernel,likelihood,mle,model,n_inducing_points,out_sample,run_time,test_dates,test_size,train_dates,train_size,var_out_sample,var_within_sample,week_1,week_2,week_3,within_sample
7,Sum,Gaussian,202.39,"$f(t, S(t), I(t))$",15,0.1233,98.64080834800006,2020-02-26 to 2020-07-27,304,2020-02-21 to 2020-07-27,2298,0.0462,0.0477,-0.0874,-0.0072,0.1315,0.0003
25,Sum,Gaussian,-0.01,"$f(t, I(t), Home(t))$",15,0.127,98.91895287899979,2020-02-26 to 2020-07-27,304,2020-02-21 to 2020-07-27,2298,0.0559,0.0573,0.053,0.0619,0.1304,0.0001
23,Product,Gaussian,159.96,"$f(t, S(t), I(t))$",15,0.1288,100.10712264800009,2020-02-26 to 2020-07-27,304,2020-02-21 to 2020-07-27,2298,0.0482,0.0494,-0.0237,0.0241,0.135,0.0015
14,Sum,Gaussian,123.04,"$f(t, S(t)*I(t), Home(t))$",15,0.1317,98.61369480699977,2020-02-26 to 2020-07-27,304,2020-02-21 to 2020-07-27,2298,0.0506,0.0516,0.0952,0.0479,0.1346,-0.0002
3,Sum,Gaussian,-361.59,$f(S(t)*I(t))$,15,-0.135,93.93983026599972,2020-02-26 to 2020-07-27,304,2020-02-21 to 2020-07-27,2298,0.0782,0.0782,0.0123,0.0688,-0.1435,0.0
21,Product,Gaussian,-362.69,$f(S(t)*I(t))$,15,-0.1453,96.76191959899984,2020-02-26 to 2020-07-27,304,2020-02-21 to 2020-07-27,2298,0.0783,0.0779,-0.0042,0.0443,-0.1533,0.0055
12,Matern32,Gaussian,-17.04,"$f(t, I(t), Home(t))$",15,0.1475,77.48705074700001,2020-02-26 to 2020-07-27,304,2020-02-21 to 2020-07-27,2298,0.0575,0.0576,0.0206,0.0461,0.1531,0.0
30,Matern32,Gaussian,-361.26,$f(S(t)*I(t))$,15,-0.1492,75.989940988,2020-02-26 to 2020-07-27,304,2020-02-21 to 2020-07-27,2298,0.079,0.0782,0.0017,0.0581,-0.1579,-0.0
38,Product,Gaussian,-49.3,"$f(t, S(t)*I(t))$",15,0.1509,100.28306235000014,2020-02-26 to 2020-07-27,304,2020-02-21 to 2020-07-27,2298,0.0591,0.0594,0.004,0.0294,0.1574,0.001
19,Sum,Gaussian,-49.33,"$f(t, S(t)*I(t))$",15,0.1617,97.9204048419997,2020-02-26 to 2020-07-27,304,2020-02-21 to 2020-07-27,2298,0.0587,0.0592,0.0644,-0.0087,0.1681,-0.0001
26,Product,Gaussian,-404.54,"$f(S(t)I(t), WKD(t), HOME(t), WORK(t), RCR(t))$",15,0.17,110.89574337300002,2020-02-26 to 2020-07-27,304,2020-02-21 to 2020-07-27,2298,0.0787,0.0808,0.1307,0.1642,0.171,0.0003
17,Product,Gaussian,-2411.46,$f(t)$,15,-0.1927,119.66473622500007,2020-02-26 to 2020-07-27,304,2020-02-21 to 2020-07-27,2298,0.471,0.4711,-0.0214,-0.2878,-0.1945,0.0623
0,Sum,Gaussian,-2402.86,$f(t)$,15,-0.2561,93.37520038899993,2020-02-26 to 2020-07-27,304,2020-02-21 to 2020-07-27,2298,0.4664,0.4665,0.0068,-0.3428,-0.2604,-0.0001
27,Matern32,Gaussian,-2405.22,$f(t)$,15,-0.2568,71.13685907900003,2020-02-26 to 2020-07-27,304,2020-02-21 to 2020-07-27,2298,0.4679,0.468,-0.0271,-0.3662,-0.2597,-0.0003
35,Matern32,Gaussian,-301.55,"$f(S(t), I(t))$",15,-0.3397,73.572569929,2020-02-26 to 2020-07-27,304,2020-02-21 to 2020-07-27,2298,0.072,0.074,-0.0113,0.0002,-0.3558,-0.0006
