,kernel,likelihood,mle,model,n_inducing_points,out_sample,run_time,test_dates,test_size,train_dates,train_size,var_out_sample,var_within_sample,week_1,week_2,week_3,within_sample
6,Matern32,Gaussian,157.03,"$f(t, S(t)*I(t), Home(t)*Work(t)*Recreational(t))$",15,-0.2156,68.31472975200018,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.0118,0.0038,-0.1137,-0.1868,-0.3463,-0.0001
53,Product,Gaussian,175.63,"$f(t, S(t), I(t))$",15,0.2261,89.82792130300004,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.7662,0.0029,-0.0407,0.1773,0.5418,0.0002
12,Product,Gaussian,141.71,"$f(t, S(t), I(t), Home(t), Work(t), Recreational(t)$",15,-0.2469,90.36577961900002,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.0953,0.006,-0.2373,-0.2694,-0.2341,0.0011
26,Sum,Gaussian,139.33,$f(t)$,15,-0.2841,87.02754385099979,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.1859,0.0046,-0.1348,-0.2564,-0.4611,-0.0
4,Matern32,Gaussian,147.39,$f(S(t)+I(t))$,15,-0.3482,68.53365040900007,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.0115,0.0043,-0.1491,-0.3279,-0.5677,-0.0
35,Matern32,Gaussian,147.42,$f(S(t)*I(t))$,15,-0.3566,66.27420150600005,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.0114,0.0043,-0.1543,-0.3365,-0.5791,-0.0
50,Product,Gaussian,107.7,"$f(t, S(t)*I(t), Home(t), Weekday(t))$",15,-0.3831,91.2155445010003,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.0177,0.0086,-0.1256,-0.3418,-0.682,0.0008
1,Product,Gaussian,107.69,"$f(t, I(t), Home(t), Weekday(t))$",15,-0.3835,89.58118606700009,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.0178,0.0086,-0.1258,-0.3422,-0.6826,0.0008
34,Product,Gaussian,186.94,"$f(t, S(t)*I(t), Home(t)*Work(t)*Recreational(t)$",15,-0.3929,90.41027071000008,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.0142,0.0029,-0.1774,-0.3397,-0.6615,0.0004
9,Matern32,Gaussian,131.11,"$f(S(t), I(t))$",15,0.4,76.52570861900006,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.2817,0.006,0.0938,0.3978,0.7083,-0.0001
27,Sum,Gaussian,159.05,"$f(t, S(t)*I(t), Home(t))$",15,0.4012,87.29521396400014,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.0665,0.0036,0.046,0.3809,0.7767,0.0
24,Sum,Gaussian,99.19,"$nf(S(t)I(t), WKD(t), WORK(t), RCR(t))$",15,0.4176,83.93479053699997,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.0085,0.0086,0.3232,0.4556,0.4739,0.0001
38,Sum,Gaussian,128.68,"$f(t, S(t)*I(t), Home(t)*Work(t)*Recreational(t), Weekday(t))$",15,-0.4497,76.8996174720005,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.0114,0.0062,-0.2118,-0.4003,-0.737,0.0002
36,Product,Gaussian,188.44,"$f(t, S(t)*I(t), Home(t))$",15,-0.4506,87.75894295800026,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.0148,0.0026,-0.2027,-0.4065,-0.7426,0.0007
45,Sum,Gaussian,124.53,"$f(t, S(t)*I(t), Home(t), Weekday(t))$",15,-0.4532,88.03326655199999,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.0156,0.0067,-0.1891,-0.4244,-0.746,0.0003
49,Sum,Gaussian,124.55,"$f(t, I(t), Home(t), Weekday(t))$",15,-0.4559,86.23380750000024,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.0156,0.0067,-0.1906,-0.4272,-0.75,0.0003
51,Product,Gaussian,188.9,"$f(t, I(t), Home(t))$",15,-0.4647,92.4172574459999,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.0144,0.0026,-0.2097,-0.4205,-0.764,0.0007
25,Sum,Gaussian,93.34,"$nf(S(t)I(t), WKD(t), HOME(t), WORK(t), RCR(t))$",15,0.4816,74.539079569,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.0093,0.0097,0.3851,0.5334,0.5263,0.0001
0,Product,Gaussian,99.84,"$f(t, S(t), I(t), Home(t), Work(t), Recreational(t), Weekday(t))$",15,-0.4876,86.25381103100017,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.061,0.012,-0.2762,-0.4817,-0.7048,0.0015
54,Sum,Gaussian,124.76,"$f(t, S(t)+I(t))$",15,-0.5069,87.19459325200023,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.0122,0.0074,-0.1965,-0.4656,-0.8587,0.0001
41,Sum,Gaussian,124.76,"$f(t, S(t)*I(t))$",15,-0.5073,87.374354649,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.0122,0.0074,-0.1968,-0.4659,-0.8593,0.0001
52,Sum,Gaussian,-38.5,"$nf(WKD(t), HOME(t), WORK(t), RCR(t))$",15,0.5125,83.829442981,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.0826,0.0832,0.3017,0.5648,0.6709,-0.0013
21,Sum,Gaussian,162.17,"$f(t, S(t)*I(t), Home(t)*Work(t)*Recreational(t)$",15,-0.5403,82.6416688219997,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.0246,0.0034,-0.2923,-0.4997,-0.8289,0.0001
8,Sum,Gaussian,92.52,"$nf(S(t)I(t), WKD(t), HOME(t))$",15,0.5991,84.475407007,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.0103,0.0105,0.5342,0.6429,0.6201,0.0001
43,Sum,Gaussian,122.61,"$f(t, S(t), I(t))$",15,-0.6593,87.97507479399974,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.0307,0.0074,-0.2999,-0.6342,-1.0439,0.0001
33,Product,Gaussian,9.39,$f(t)$,15,0.6809,109.92362268000011,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,1.5384,0.0373,0.1277,0.6196,1.2953,0.15
20,Product,Gaussian,25.92,$f(S(t)+I(t))$,15,0.7086,87.77794914300011,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.0368,0.0353,0.5958,0.745,0.7849,0.1629
5,Product,Gaussian,25.89,$f(S(t)*I(t))$,15,0.7086,89.71087358999989,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.0369,0.0353,0.5958,0.745,0.785,0.163
44,Sum,Gaussian,118.52,"$f(t, S(t)^p, I(t)^p)$",15,-0.7656,87.78695640099977,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.0767,0.0078,-0.3703,-0.7617,-1.1648,0.0002
39,Sum,Gaussian,111.96,"$f(t, S(t), I(t), Home(t), Work(t), Recreational(t), Weekday(t))$",15,-0.8126,77.2150648679999,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.0392,0.0089,-0.3934,-0.7776,-1.2667,0.0003
37,Sum,Gaussian,111.84,"$f(t, S(t)^p, I(t)^p, Home(t)^p, Work(t)^p, Recreational(t)^p$",15,-0.9025,77.71196084199983,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.0278,0.0088,-0.4143,-0.817,-1.4761,0.0002
10,Sum,Gaussian,141.16,"$f(t, S(t), I(t), Home(t), Work(t), Recreational(t)$",15,-0.926,77.54399776299942,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.0324,0.0055,-0.4286,-0.8699,-1.4795,0.0
31,Product,Gaussian,185.72,"$f(S(t), I(t))$",15,-1.0978,100.21868990200005,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.1064,0.0031,-0.3539,-1.0241,-1.9154,0.0006
23,Sum,Gaussian,120.39,"$f(S(t), I(t))$",15,-1.1839,85.7406918849997,2020-07-07 to 2020-07-27,21,2020-02-21 to 2020-07-06,137,0.1155,0.0079,-0.5539,-1.2167,-1.7812,0.0001
