,kernel,likelihood,mle,model,n_inducing_points,out_sample,run_time,test_dates,test_size,train_dates,train_size,var_out_sample,var_within_sample,week_1,week_2,week_3,within_sample,
24,Product,Gaussian,124.9,"$f(t, S(t), I(t), Home(t), Work(t), Recreational(t)$",15,-0.3398,89.04215047,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0633,0.0084,-0.1622,-0.3349,-0.5225,0.0043,0.3398
25,Sum,Gaussian,127.39,"$f(t, S(t)*I(t), Home(t), Weekday(t))$",15,-0.3451,76.08879451,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0111,0.0071,-0.1134,-0.3105,-0.6116,0.0003,0.3451
26,Sum,Gaussian,127.39,"$f(t, I(t), Home(t), Weekday(t))$",15,-0.3465,86.97732546,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0111,0.0071,-0.1141,-0.3118,-0.6135,0.0003,0.3465
27,Matern32,Gaussian,142.33,"$f(S(t), I(t))$",15,0.3491,69.76048937,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.2066,0.0057,0.0613,0.34,0.6459,-0.0001,0.3491
28,Product,Gaussian,116.45,"$f(t, S(t)*I(t), Home(t), Weekday(t))$",15,-0.3635,88.4419455,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.015,0.0078,-0.0923,-0.3149,-0.6834,0.0016,0.3635
29,Product,Gaussian,116.45,"$f(t, I(t), Home(t), Weekday(t))$",15,-0.3643,93.34632466,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.015,0.0078,-0.0927,-0.3157,-0.6845,0.0016,0.3643
30,Product,Gaussian,151.55,"$f(t, S(t), I(t))$",15,-0.3705,90.50018078,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.1773,0.0053,-0.1966,-0.3488,-0.5662,0.0008,0.3705
31,Product,Gaussian,152.46,"$f(t, S(t)*I(t), Home(t)*Work(t)*Recreational(t)$",15,-0.4069,87.3227962,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0121,0.005,-0.146,-0.3672,-0.7076,0.0011,0.4069
32,Product,Gaussian,187.47,"$f(t, S(t)*I(t))$",15,-0.4148,87.31276496,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.031,0.0044,-0.1996,-0.3764,-0.6683,0.0008,0.4148
33,Product,Gaussian,188.57,"$f(t, S(t)+I(t))$",15,-0.4365,89.36924976,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0284,0.0041,-0.2136,-0.3986,-0.6974,0.0008,0.4365
34,Sum,Gaussian,143.54,"$f(t, S(t)*I(t), Home(t))$",15,-0.4385,78.76596659,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.01,0.0058,-0.1632,-0.4014,-0.751,0.0002,0.4385
35,Sum,Gaussian,143.63,"$f(t, I(t), Home(t))$",15,-0.4388,85.34793702,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.01,0.0057,-0.1635,-0.4018,-0.7511,0.0002,0.4388
36,Sum,Gaussian,152.52,"$f(t, S(t)*I(t), Home(t)*Work(t)*Recreational(t)$",15,-0.4757,76.68053472,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0092,0.0051,-0.1823,-0.4374,-0.8074,0.0001,0.4757
37,Sum,Gaussian,116.19,"$f(t, S(t), I(t), Home(t), Work(t), Recreational(t), Weekday(t))$",15,-0.4816,74.81375105,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0309,0.008,-0.1823,-0.461,-0.8015,0.0004,0.4816
38,Sum,Gaussian,140.07,"$f(t, S(t)+I(t))$",15,-0.489,86.47277712,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0107,0.0065,-0.1837,-0.447,-0.8361,0.0001,0.489
39,Sum,Gaussian,140.07,"$f(t, S(t)*I(t))$",15,-0.4892,86.34598217,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0107,0.0065,-0.1839,-0.4473,-0.8365,0.0001,0.4892
40,Product,Gaussian,133.29,"$f(t, S(t)*I(t), Home(t))$",15,-0.5111,87.43935533,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.012,0.0064,-0.1784,-0.4601,-0.8947,0.0011,0.5111
41,Product,Gaussian,133.49,"$f(t, I(t), Home(t))$",15,-0.5137,87.72877221,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0122,0.0064,-0.1806,-0.4631,-0.8976,0.0011,0.5137
42,Product,Gaussian,100.37,"$f(S(t)I(t), WKD(t), HOME(t), WORK(t), RCR(t))$",15,0.5818,78.6394224,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0091,0.0101,0.5279,0.6187,0.5988,0.001,0.5818
43,Product,Gaussian,107.21,"$f(S(t)I(t), WKD(t), WORK(t), RCR(t))$",15,0.636,104.6107543,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0081,0.009,0.5779,0.6683,0.6617,0.0007,0.636
44,Product,Gaussian,-0.76,$f(t)$,15,0.66,87.50919926,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,2.191,0.0424,0.1584,0.6097,1.2117,0.1743,0.66
45,Product,Gaussian,100.39,"$f(S(t)I(t), WKD(t), HOME(t))$",15,0.6803,100.1587618,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0104,0.0103,0.6059,0.719,0.716,0.0024,0.6803
46,Sum,Gaussian,134.15,"$f(t, S(t)^p, I(t)^p)$",15,-0.6905,86.07149112,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0767,0.0068,-0.354,-0.6955,-1.0219,0.0002,0.6905
47,Product,Gaussian,145.41,"$f(S(t), I(t))$",15,-0.6986,87.4819034,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.2569,0.006,-0.3959,-0.7117,-0.9881,0.0007,0.6986
48,Sum,Gaussian,137.76,"$f(t, S(t), I(t))$",15,-0.7117,86.19964099,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0245,0.0066,-0.3159,-0.6791,-1.1403,0.0001,0.7117
49,Sum,Gaussian,140.62,"$f(t, S(t), I(t), Home(t), Work(t), Recreational(t)$",15,-0.7142,75.85736158,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0308,0.0062,-0.2919,-0.6738,-1.1768,0.0001,0.7142
50,Sum,Gaussian,150.27,$f(t)$,15,-0.8049,85.47062735,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.1213,0.0044,-0.3246,-0.7503,-1.3397,-0.0001,0.8049
51,Product,Gaussian,-50.92,"$f(WKD(t), HOME(t), WORK(t), RCR(t))$",15,0.8632,93.93614401,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0801,0.0931,0.7353,0.9077,0.9465,0.0022,0.8632
52,Product,Gaussian,41.91,$f(S(t)+I(t))$,15,0.9766,88.28165751,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0296,0.0285,0.7901,1.0131,1.1265,0.143,0.9766
53,Product,Gaussian,41.87,$f(S(t)*I(t))$,15,0.9768,88.98736364,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0296,0.0285,0.7902,1.0133,1.127,0.143,0.9768
54,Product,Gaussian,140.93,"$f(t, S(t)^p, I(t)^p)$",15,1.3777,86.14192165,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.9097,0.0069,0.2366,1.324,2.5724,0.0008,1.3777
55,Sum,Gaussian,134.42,"$f(S(t), I(t))$",15,-1.3862,86.03066239,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0844,0.0072,-0.5816,-1.3799,-2.1971,0,1.3862
