,model,likelihood,kernel,mle,train_dates,test_dates,train_size,test_size,n_inducing_points,run_time,var_within_sample,var_out_sample,within_sample,out_sample,week_1,week_2,week_3,
25,"$f(S(t)I(t), WKD(t), HOME(t), WORK(t), RCR(t))$",Gaussian,Product,-1757.31,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,181.2142799,0.2625,0.2421,0.0139,0.4178,-0.0286,0.1449,0.4352,0.4178
26,"$f(t, S(t), I(t), Home(t), Work(t), Recreational(t)$",Gaussian,Product,-701.84,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,184.5067598,0.1033,0.0924,0.0448,0.4203,0.1773,-0.0476,0.4375,0.4203
27,"$f(t, S(t)+I(t))$",Gaussian,Matern32,-1183.72,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,126.5716411,0.1599,0.1541,-0.0006,0.4381,0.4059,-0.3061,0.4568,0.4381
28,$f(S(t)+I(t))$,Gaussian,Sum,-2916.99,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,174.7576984,0.734,0.732,-0.0015,0.451,-4.0347,-3.9357,0.6651,0.451
29,"$f(t, S(t)^p, I(t)^p, Home(t)^p, Work(t)^p, Recreational(t)^p$",Gaussian,Sum,-807.62,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,177.3128354,0.121,0.1147,0.0002,0.4561,0.0707,-0.0224,0.4769,0.4561
30,"$f(t, S(t), I(t))$",Gaussian,Sum,-1066.59,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,176.2871838,0.1448,0.1379,-0.0009,0.4697,0.2683,-0.25,0.4919,0.4697
31,"$f(t, S(t), I(t))$",Gaussian,Matern32,-1076.54,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,129.2365585,0.145,0.1349,0.0005,0.4771,0.4626,-0.2795,0.4957,0.4771
32,"$f(t, I(t), Home(t))$",Gaussian,Product,-1407.73,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,184.2249404,0.1926,0.1848,0.0762,0.5069,-0.0139,-0.2359,0.5374,0.5069
33,"$f(t, S(t)+I(t))$",Gaussian,Product,-1463.15,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,183.9610908,0.2032,0.1941,0.1461,0.5458,0.1257,-0.2215,0.5744,0.5458
34,"$f(S(t), I(t))$",Gaussian,Product,-2029.35,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,177.1135595,0.3318,0.278,0.3563,0.5578,-1.2031,-1.1042,0.6404,0.5578
35,"$f(t, S(t)^p, I(t)^p)$",Gaussian,Product,-1277.25,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,184.4355323,0.1699,0.158,0.0133,0.5586,0.4628,-0.4099,0.5843,0.5586
36,"$f(t, S(t), I(t))$",Gaussian,Product,-1438.09,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,184.2440291,0.1988,0.1872,0.1554,0.6242,0.2161,-0.141,0.6525,0.6242
37,$f(S(t)*I(t))$,Gaussian,Product,-2924.25,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,176.1991616,0.7455,0.7266,0.3362,0.6331,-3.7634,-3.6644,0.8429,0.6331
38,"$f(t, S(t)*I(t))$",Gaussian,Matern32,-1558.15,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,127.5321776,0.2215,0.2034,0.0065,0.6568,0.0004,-0.6041,0.7031,0.6568
39,$f(S(t)+I(t))$,Gaussian,Product,-2990.99,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,176.46335,0.7871,0.7861,0.325,0.7381,-3.7184,-3.6194,0.9508,0.7381
40,$f(S(t)*I(t))$,Gaussian,Sum,-2466.66,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,176.840963,0.5476,0.5298,0.0009,0.8632,-3.2713,-3.1723,1.0604,0.8632
