,States,train_error_custom,train_error_marg,train_error_multi,test_error_custom,test_error_marg,test_error_multi,average_variance_custom,average_variance_marg,average_variance_multi
0,Alaska,0.8827099098023351,1.3035555414679814,0.6533646556319731,2.272895895341009,0.8328876593874077,1.7287055798615363,4.837073798742424,0.06016758507550566,3.1108356236745713
1,Alabama,0.26260320108957275,1.2686707858891584,0.3862424663512171,0.9025616983272103,0.08026054209728734,0.5874960561969039,5.604233594993258,0.010374906160199183,3.1139581929266993
2,Arkansas,1.05955188539732,1.2780671982586593,0.39349633389424643,0.07635555537125024,0.13584796291579163,0.3398299116434254,3.654325244745521,0.012744801310880639,3.113181771087889
3,Arizona,0.5895374963278034,1.2909782765836515,0.35882767734289023,1.0485296259793884,0.08609636006729988,0.19886498962154495,3.741359636249924,0.0067525832362422015,3.1079986148463856
4,California,0.9488779987529954,1.1556104699490217,0.3781079001785348,0.5510790412760147,0.12431686919834516,0.40912688197767155,5.801984298214345,0.008763463966710159,3.103983992087851
5,Colorado,1.0672266580754002,1.1651895453828844,0.43406170721791315,1.801718967574695,0.26032094507115827,0.4609254961562425,4.373941589053784,0.011089940834198547,3.094844590995995
6,Connecticut,0.34582559182757716,1.2574515827153159,0.41842214183696397,0.36038723978920584,0.15033011933286478,0.1988136425175953,4.319005274229946,0.007174642687439225,3.0982081031767623
7,District of Columbia,0.36144025182479916,1.2633181790455068,0.4285384951562001,0.3574242062282617,0.1861812882162093,0.3616117560386953,3.9249863951282524,0.006076985692084442,3.0960416596049116
8,Delaware,0.9879924173969246,1.2740655551804538,0.41404601833827254,1.5633773712672423,0.21118552876130753,0.20025451046005135,3.7026952592817888,0.012079290147109827,3.0972663107903182
9,Florida,0.2541259759083841,1.1961571168272171,0.37343287060326313,1.6291448362549523,0.06569053135549147,0.6074754369344795,5.084672849711278,0.009285072887005343,3.103643119182274
10,Georgia,0.6685493010884839,1.1935248321702343,0.36813291216364924,1.0469512857492471,0.49367374985234547,0.5359759148408983,4.26546783768385,0.022958916758920898,3.101448723759722
11,Hawaii,0.8371889926935598,1.3635559176486831,0.6389394574372502,0.251387731867468,0.2774534151788017,0.9467767042829438,3.35818398801935,0.05831300499085839,3.104087488481195
12,Iowa,0.9222768710047868,1.2693124818855248,0.4383049639144064,1.4031993134687208,0.15850404919094196,0.2170095970715376,3.562878321619576,0.004825830318854928,3.099646733731028
13,Idaho,0.468278586883809,1.305851507708384,0.41275455517322734,0.2997789783884659,0.7774593658612743,1.0234157375943984,5.386894240675801,0.09867010196879214,3.1062931768987574
14,Illinois,0.8624111161836848,1.1999890825923238,0.41282403780772176,0.7921732565119535,0.07273608263653908,0.31932176720996175,5.163590204861803,0.0038173234484568724,3.097225836824187
15,Indiana,0.356136648491849,1.2392753402923364,0.37331484781216223,0.6542842686253088,0.18567992005169429,0.4418854627095306,3.2868511511992238,0.0033136187291416593,3.103242682707301
16,Kansas,0.7677864803384192,1.2774845994648174,0.39708087545653714,0.9353931030141489,0.16690485112953954,0.4937521666852515,5.4350581232189885,0.013207658129413276,3.0994728346078584
