,States,train_error_custom,train_error_marg,train_error_multi,test_error_custom,test_error_marg,test_error_multi,average_variance_custom,average_variance_marg,average_variance_multi
0,Alaska,1.3425502610253037,1.3033334544899564,0.6533646556320005,1.1814315744323693,0.6792413404685735,1.7287055798616058,5.223677280641286,0.05633005414364613,3.1108356236755315
1,Alabama,0.30398899667282914,1.268724642099217,0.3862424663512454,0.5404534417126158,0.07649780779141307,0.5874960561968843,5.864975478666578,0.01007598166580825,3.1139581929276754
2,Arkansas,0.4888269655402389,1.2803935854884796,0.39349633389428884,0.1730407390370988,0.1233737004027924,0.3398299116435645,3.9750628034264506,0.01172771569777449,3.113181771088844
3,Arizona,0.6588856843773617,1.2909156301416704,0.35882767743724575,0.6859725185796084,0.12432851186715245,0.19886498974614633,4.000131774518021,0.00719311015782885,3.107998614871431
4,California,0.6463980425237782,1.155896634961393,0.3781079001785767,1.4434950847358763,0.13324626504335219,0.4091268819777449,6.384625004465089,0.010903816352343597,3.103983992088809
5,Colorado,0.6707729572287084,1.1653384810660083,0.434061707217949,0.21133134666926678,0.23003505514211883,0.46092549615626577,4.396042206897459,0.010954902547471076,3.0948445909969506
6,Connecticut,0.7469895565374071,1.2577605243678882,0.4184221418370003,0.9523589211242295,0.17259600862088942,0.19881364251760567,4.772955130515204,0.007332736242786208,3.0982081031777198
7,District of Columbia,0.6238897614910437,1.2631420497226318,0.42853849515622605,0.8167546732794156,0.19213176299070983,0.36161175603867896,4.019176872563349,0.005496884619857283,3.09604165960587
8,Delaware,0.8719589916464803,1.2737180114342341,0.4140460183383085,1.480562019511718,0.20716525270992595,0.2002545104600754,3.9914710488943808,0.012188692878713029,3.097266310791285
9,Florida,0.2386383663896446,1.1960737045198289,0.3734328706033044,0.36317163004985753,0.06626359683276867,0.6074754369345505,5.202716517285735,0.010776975770782314,3.1036431191832308
10,Georgia,0.4764985674125999,1.191344059927484,0.36813291216516414,0.18028299470886466,0.47733771468092284,0.5359759148384393,4.674355062428102,0.02200250385112238,3.1014487237599515
11,Hawaii,0.9369572694477866,1.3578269370400724,0.6389394574372776,0.3955660419196243,0.5218791872280721,0.9467767042829912,4.753904222113898,0.06373668990795409,3.1040874884821523
12,Iowa,0.3597082036087887,1.2699696420195365,0.4383049639144376,0.6042233235284588,0.16098053941422086,0.21700959707155923,3.709844189228021,0.004962011386233943,3.0996467337319893
13,Idaho,0.5483101633409149,1.3048855124648797,0.412754555173267,1.0005527077942848,0.6176452761113951,1.023415737594485,5.358100469699645,0.10191050391705413,3.1062931768997184
14,Illinois,0.5541552211748977,1.2000900177684246,0.41282403780776183,0.8192672536236256,0.07384960553173371,0.3193217672099633,5.287545123730158,0.0036770856196424646,3.0972258368251517
15,Indiana,0.2890993505727233,1.2394573057285607,0.3733148478123165,0.34238783528209416,0.2272369168190227,0.44188546270702517,3.3284201646588296,0.003281961276822865,3.103242682708339
16,Kansas,0.8729450245602886,1.277719807307657,0.39708087545660525,0.15215692555505064,0.15954761154315925,0.49375216668542093,5.070459048025136,0.012610795937568874,3.099472834608819
